,rank,catchphrase,count
0,1 - Very Low,jeepers,0
1,2 - Low,jeepers,2
2,3 - Moderate,jeepers,28
3,4 - High,jeepers,100
4,5 - Very High,jeepers,83
5,6 - Top Tier,jeepers,11
6,7 - Elite,jeepers,3
7,1 - Very Low,jinkies,6
8,2 - Low,jinkies,31
9,3 - Moderate,jinkies,56
10,4 - High,jinkies,164
11,5 - Very High,jinkies,196
12,6 - Top Tier,jinkies,21
13,7 - Elite,jinkies,8
14,1 - Very Low,my_glasses,1
15,2 - Low,my_glasses,3
16,3 - Moderate,my_glasses,8
17,4 - High,my_glasses,15
18,5 - Very High,my_glasses,7
19,6 - Top Tier,my_glasses,7
20,7 - Elite,my_glasses,0
21,1 - Very Low,just_about_wrapped_up,0
22,2 - Low,just_about_wrapped_up,0
23,3 - Moderate,just_about_wrapped_up,0
24,4 - High,just_about_wrapped_up,8
25,5 - Very High,just_about_wrapped_up,7
26,6 - Top Tier,just_about_wrapped_up,1
27,7 - Elite,just_about_wrapped_up,0
28,1 - Very Low,groovy,1
29,2 - Low,groovy,2
30,3 - Moderate,groovy,4
31,4 - High,groovy,19
32,5 - Very High,groovy,8
33,6 - Top Tier,groovy,0
34,7 - Elite,groovy,0
35,1 - Very Low,zoinks,5
36,2 - Low,zoinks,43
37,3 - Moderate,zoinks,101
38,4 - High,zoinks,590
39,5 - Very High,zoinks,416
40,6 - Top Tier,zoinks,54
41,7 - Elite,zoinks,4
42,1 - Very Low,scooby_doo_where_are_you,0
43,2 - Low,scooby_doo_where_are_you,5
44,3 - Moderate,scooby_doo_where_are_you,7
45,4 - High,scooby_doo_where_are_you,28
46,5 - Very High,scooby_doo_where_are_you,34
47,6 - Top Tier,scooby_doo_where_are_you,1
48,7 - Elite,scooby_doo_where_are_you,1
49,1 - Very Low,rooby_rooby_roo,4
50,2 - Low,rooby_rooby_roo,28
51,3 - Moderate,rooby_rooby_roo,51
52,4 - High,rooby_rooby_roo,203
53,5 - Very High,rooby_rooby_roo,103
54,6 - Top Tier,rooby_rooby_roo,12
55,7 - Elite,rooby_rooby_roo,2
