,rank,index,catchphrase,count
0,1 - Very Low,1,jeepers,0
28944,7 - Elite,1,scooby_doo_where_are_you,0
20502,7 - Elite,1,groovy,0
1809,4 - High,1,jeepers,0
19899,6 - Top Tier,1,groovy,0
7236,6 - Top Tier,1,jinkies,0
19296,5 - Very High,1,groovy,0
18693,4 - High,1,groovy,0
7839,7 - Elite,1,jinkies,0
29547,1 - Very Low,1,rooby_rooby_roo,0
6633,5 - Very High,1,jinkies,0
18090,3 - Moderate,1,groovy,0
31959,5 - Very High,1,rooby_rooby_roo,1
8442,1 - Very Low,1,my_glasses,0
16884,1 - Very Low,1,groovy,0
9045,2 - Low,1,my_glasses,0
16281,7 - Elite,1,just_about_wrapped_up,0
9648,3 - Moderate,1,my_glasses,0
15678,6 - Top Tier,1,just_about_wrapped_up,0
15075,5 - Very High,1,just_about_wrapped_up,0
10251,4 - High,1,my_glasses,0
17487,2 - Low,1,groovy,0
14472,4 - High,1,just_about_wrapped_up,0
21105,1 - Very Low,1,zoinks,0
33165,7 - Elite,1,rooby_rooby_roo,0
27738,5 - Very High,1,scooby_doo_where_are_you,0
27135,4 - High,1,scooby_doo_where_are_you,0
2412,5 - Very High,1,jeepers,0
26532,3 - Moderate,1,scooby_doo_where_are_you,0
3015,6 - Top Tier,1,jeepers,0
25929,2 - Low,1,scooby_doo_where_are_you,0
25326,1 - Very Low,1,scooby_doo_where_are_you,0
3618,7 - Elite,1,jeepers,0
24723,7 - Elite,1,zoinks,0
6030,4 - High,1,jinkies,0
24120,6 - Top Tier,1,zoinks,0
1206,3 - Moderate,1,jeepers,0
23517,5 - Very High,1,zoinks,1
31356,4 - High,1,rooby_rooby_roo,0
4824,2 - Low,1,jinkies,0
22914,4 - High,1,zoinks,0
5427,3 - Moderate,1,jinkies,0
22311,3 - Moderate,1,zoinks,0
21708,2 - Low,1,zoinks,0
30753,3 - Moderate,1,rooby_rooby_roo,0
4221,1 - Very Low,1,jinkies,0
10854,5 - Very High,1,my_glasses,1
28341,6 - Top Tier,1,scooby_doo_where_are_you,0
13869,3 - Moderate,1,just_about_wrapped_up,0
30150,2 - Low,1,rooby_rooby_roo,0
13266,2 - Low,1,just_about_wrapped_up,0
32562,6 - Top Tier,1,rooby_rooby_roo,0
12663,1 - Very Low,1,just_about_wrapped_up,0
11457,6 - Top Tier,1,my_glasses,0
603,2 - Low,1,jeepers,0
12060,7 - Elite,1,my_glasses,0
13267,2 - Low,2,just_about_wrapped_up,0
31960,5 - Very High,2,rooby_rooby_roo,0
4222,1 - Very Low,2,jinkies,0
12061,7 - Elite,2,my_glasses,0
8443,1 - Very Low,2,my_glasses,0
21709,2 - Low,2,zoinks,0
24724,7 - Elite,2,zoinks,0
16885,1 - Very Low,2,groovy,0
9046,2 - Low,2,my_glasses,0
3619,7 - Elite,2,jeepers,0
25327,1 - Very Low,2,scooby_doo_where_are_you,0
25930,2 - Low,2,scooby_doo_where_are_you,0
16282,7 - Elite,2,just_about_wrapped_up,0
24121,6 - Top Tier,2,zoinks,0
17488,2 - Low,2,groovy,0
604,2 - Low,2,jeepers,0
18091,3 - Moderate,2,groovy,0
19900,6 - Top Tier,2,groovy,0
22312,3 - Moderate,2,zoinks,0
7237,6 - Top Tier,2,jinkies,0
30754,3 - Moderate,2,rooby_rooby_roo,0
5428,3 - Moderate,2,jinkies,0
22915,4 - High,2,zoinks,0
19297,5 - Very High,2,groovy,0
20503,7 - Elite,2,groovy,0
4825,2 - Low,2,jinkies,0
18694,4 - High,2,groovy,0
11458,6 - Top Tier,2,my_glasses,0
7840,7 - Elite,2,jinkies,0
31357,4 - High,2,rooby_rooby_roo,0
32563,6 - Top Tier,2,rooby_rooby_roo,0
23518,5 - Very High,2,zoinks,3
1207,3 - Moderate,2,jeepers,0
29548,1 - Very Low,2,rooby_rooby_roo,0
28945,7 - Elite,2,scooby_doo_where_are_you,0
30151,2 - Low,2,rooby_rooby_roo,0
6031,4 - High,2,jinkies,0
2413,5 - Very High,2,jeepers,0
14473,4 - High,2,just_about_wrapped_up,0
12664,1 - Very Low,2,just_about_wrapped_up,0
21106,1 - Very Low,2,zoinks,0
33166,7 - Elite,2,rooby_rooby_roo,0
28342,6 - Top Tier,2,scooby_doo_where_are_you,0
27739,5 - Very High,2,scooby_doo_where_are_you,1
15679,6 - Top Tier,2,just_about_wrapped_up,0
26533,3 - Moderate,2,scooby_doo_where_are_you,0
10855,5 - Very High,2,my_glasses,0
15076,5 - Very High,2,just_about_wrapped_up,0
6634,5 - Very High,2,jinkies,0
9649,3 - Moderate,2,my_glasses,0
27136,4 - High,2,scooby_doo_where_are_you,0
10252,4 - High,2,my_glasses,0
1,1 - Very Low,2,jeepers,0
1810,4 - High,2,jeepers,0
3016,6 - Top Tier,2,jeepers,0
13870,3 - Moderate,2,just_about_wrapped_up,0
7841,7 - Elite,3,jinkies,0
31358,4 - High,3,rooby_rooby_roo,0
605,2 - Low,3,jeepers,0
27740,5 - Very High,3,scooby_doo_where_are_you,0
11459,6 - Top Tier,3,my_glasses,0
18695,4 - High,3,groovy,0
20504,7 - Elite,3,groovy,0
14474,4 - High,3,just_about_wrapped_up,0
22313,3 - Moderate,3,zoinks,0
1811,4 - High,3,jeepers,0
6032,4 - High,3,jinkies,0
7238,6 - Top Tier,3,jinkies,0
30755,3 - Moderate,3,rooby_rooby_roo,0
10856,5 - Very High,3,my_glasses,0
32564,6 - Top Tier,3,rooby_rooby_roo,0
28946,7 - Elite,3,scooby_doo_where_are_you,0
30152,2 - Low,3,rooby_rooby_roo,0
22916,4 - High,3,zoinks,0
19298,5 - Very High,3,groovy,2
28343,6 - Top Tier,3,scooby_doo_where_are_you,0
12665,1 - Very Low,3,just_about_wrapped_up,0
4826,2 - Low,3,jinkies,0
5429,3 - Moderate,3,jinkies,0
21107,1 - Very Low,3,zoinks,0
9650,3 - Moderate,3,my_glasses,0
23519,5 - Very High,3,zoinks,1
16283,7 - Elite,3,just_about_wrapped_up,0
25931,2 - Low,3,scooby_doo_where_are_you,0
6635,5 - Very High,3,jinkies,0
33167,7 - Elite,3,rooby_rooby_roo,0
25328,1 - Very Low,3,scooby_doo_where_are_you,0
3017,6 - Top Tier,3,jeepers,0
3620,7 - Elite,3,jeepers,0
9047,2 - Low,3,my_glasses,0
26534,3 - Moderate,3,scooby_doo_where_are_you,0
16886,1 - Very Low,3,groovy,0
24725,7 - Elite,3,zoinks,0
19901,6 - Top Tier,3,groovy,0
1208,3 - Moderate,3,jeepers,0
27137,4 - High,3,scooby_doo_where_are_you,0
24122,6 - Top Tier,3,zoinks,0
12062,7 - Elite,3,my_glasses,0
18092,3 - Moderate,3,groovy,0
10253,4 - High,3,my_glasses,0
13871,3 - Moderate,3,just_about_wrapped_up,0
17489,2 - Low,3,groovy,0
15077,5 - Very High,3,just_about_wrapped_up,0
2,1 - Very Low,3,jeepers,0
15680,6 - Top Tier,3,just_about_wrapped_up,0
21710,2 - Low,3,zoinks,0
31961,5 - Very High,3,rooby_rooby_roo,0
4223,1 - Very Low,3,jinkies,0
2414,5 - Very High,3,jeepers,0
29549,1 - Very Low,3,rooby_rooby_roo,0
8444,1 - Very Low,3,my_glasses,0
13268,2 - Low,3,just_about_wrapped_up,0
30153,2 - Low,4,rooby_rooby_roo,0
21711,2 - Low,4,zoinks,0
33168,7 - Elite,4,rooby_rooby_roo,0
4224,1 - Very Low,4,jinkies,0
30756,3 - Moderate,4,rooby_rooby_roo,0
1812,4 - High,4,jeepers,0
27741,5 - Very High,4,scooby_doo_where_are_you,0
28344,6 - Top Tier,4,scooby_doo_where_are_you,0
27138,4 - High,4,scooby_doo_where_are_you,0
3,1 - Very Low,4,jeepers,0
2415,5 - Very High,4,jeepers,0
26535,3 - Moderate,4,scooby_doo_where_are_you,0
3018,6 - Top Tier,4,jeepers,0
25932,2 - Low,4,scooby_doo_where_are_you,0
25329,1 - Very Low,4,scooby_doo_where_are_you,0
3621,7 - Elite,4,jeepers,0
1209,3 - Moderate,4,jeepers,0
24726,7 - Elite,4,zoinks,0
12063,7 - Elite,4,my_glasses,0
24123,6 - Top Tier,4,zoinks,0
23520,5 - Very High,4,zoinks,2
31359,4 - High,4,rooby_rooby_roo,0
4827,2 - Low,4,jinkies,0
22917,4 - High,4,zoinks,0
32565,6 - Top Tier,4,rooby_rooby_roo,0
5430,3 - Moderate,4,jinkies,0
22314,3 - Moderate,4,zoinks,0
6033,4 - High,4,jinkies,0
19902,6 - Top Tier,4,groovy,0
7842,7 - Elite,4,jinkies,0
29550,1 - Very Low,4,rooby_rooby_roo,0
28947,7 - Elite,4,scooby_doo_where_are_you,0
19299,5 - Very High,4,groovy,1
11460,6 - Top Tier,4,my_glasses,0
18093,3 - Moderate,4,groovy,0
13269,2 - Low,4,just_about_wrapped_up,0
7239,6 - Top Tier,4,jinkies,0
14475,4 - High,4,just_about_wrapped_up,0
16887,1 - Very Low,4,groovy,0
31962,5 - Very High,4,rooby_rooby_roo,0
17490,2 - Low,4,groovy,0
8445,1 - Very Low,4,my_glasses,0
9048,2 - Low,4,my_glasses,0
606,2 - Low,4,jeepers,0
10254,4 - High,4,my_glasses,0
16284,7 - Elite,4,just_about_wrapped_up,0
15681,6 - Top Tier,4,just_about_wrapped_up,0
21108,1 - Very Low,4,zoinks,0
12666,1 - Very Low,4,just_about_wrapped_up,0
9651,3 - Moderate,4,my_glasses,0
6636,5 - Very High,4,jinkies,0
20505,7 - Elite,4,groovy,0
15078,5 - Very High,4,just_about_wrapped_up,0
10857,5 - Very High,4,my_glasses,0
18696,4 - High,4,groovy,0
13872,3 - Moderate,4,just_about_wrapped_up,0
23521,5 - Very High,5,zoinks,0
28345,6 - Top Tier,5,scooby_doo_where_are_you,0
31963,5 - Very High,5,rooby_rooby_roo,0
4225,1 - Very Low,5,jinkies,0
2416,5 - Very High,5,jeepers,0
17491,2 - Low,5,groovy,0
29551,1 - Very Low,5,rooby_rooby_roo,0
24124,6 - Top Tier,5,zoinks,0
16285,7 - Elite,5,just_about_wrapped_up,0
30154,2 - Low,5,rooby_rooby_roo,0
9652,3 - Moderate,5,my_glasses,0
25330,1 - Very Low,5,scooby_doo_where_are_you,0
25933,2 - Low,5,scooby_doo_where_are_you,0
4,1 - Very Low,5,jeepers,0
12064,7 - Elite,5,my_glasses,0
8446,1 - Very Low,5,my_glasses,0
9049,2 - Low,5,my_glasses,0
1210,3 - Moderate,5,jeepers,0
15682,6 - Top Tier,5,just_about_wrapped_up,0
26536,3 - Moderate,5,scooby_doo_where_are_you,0
24727,7 - Elite,5,zoinks,0
13270,2 - Low,5,just_about_wrapped_up,0
16888,1 - Very Low,5,groovy,0
6034,4 - High,5,jinkies,0
3622,7 - Elite,5,jeepers,0
18094,3 - Moderate,5,groovy,0
3019,6 - Top Tier,5,jeepers,0
22315,3 - Moderate,5,zoinks,0
21712,2 - Low,5,zoinks,0
10858,5 - Very High,5,my_glasses,1
13873,3 - Moderate,5,just_about_wrapped_up,0
19903,6 - Top Tier,5,groovy,0
27742,5 - Very High,5,scooby_doo_where_are_you,1
11461,6 - Top Tier,5,my_glasses,0
607,2 - Low,5,jeepers,0
7240,6 - Top Tier,5,jinkies,0
33169,7 - Elite,5,rooby_rooby_roo,0
14476,4 - High,5,just_about_wrapped_up,0
5431,3 - Moderate,5,jinkies,0
20506,7 - Elite,5,groovy,0
6637,5 - Very High,5,jinkies,0
28948,7 - Elite,5,scooby_doo_where_are_you,0
19300,5 - Very High,5,groovy,0
15079,5 - Very High,5,just_about_wrapped_up,0
7843,7 - Elite,5,jinkies,0
31360,4 - High,5,rooby_rooby_roo,0
18697,4 - High,5,groovy,0
10255,4 - High,5,my_glasses,0
32566,6 - Top Tier,5,rooby_rooby_roo,0
4828,2 - Low,5,jinkies,0
27139,4 - High,5,scooby_doo_where_are_you,0
21109,1 - Very Low,5,zoinks,0
30757,3 - Moderate,5,rooby_rooby_roo,0
12667,1 - Very Low,5,just_about_wrapped_up,0
22918,4 - High,5,zoinks,0
1813,4 - High,5,jeepers,0
5,1 - Very Low,6,jeepers,0
9653,3 - Moderate,6,my_glasses,0
25934,2 - Low,6,scooby_doo_where_are_you,0
10859,5 - Very High,6,my_glasses,0
15080,5 - Very High,6,just_about_wrapped_up,0
608,2 - Low,6,jeepers,0
13874,3 - Moderate,6,just_about_wrapped_up,0
15683,6 - Top Tier,6,just_about_wrapped_up,0
27743,5 - Very High,6,scooby_doo_where_are_you,0
26537,3 - Moderate,6,scooby_doo_where_are_you,0
14477,4 - High,6,just_about_wrapped_up,0
28346,6 - Top Tier,6,scooby_doo_where_are_you,0
10256,4 - High,6,my_glasses,0
27140,4 - High,6,scooby_doo_where_are_you,0
2417,5 - Very High,6,jeepers,0
1814,4 - High,6,jeepers,0
6035,4 - High,6,jinkies,0
24125,6 - Top Tier,6,zoinks,2
7844,7 - Elite,6,jinkies,0
18698,4 - High,6,groovy,0
28949,7 - Elite,6,scooby_doo_where_are_you,0
4829,2 - Low,6,jinkies,0
30758,3 - Moderate,6,rooby_rooby_roo,0
22919,4 - High,6,zoinks,0
19301,5 - Very High,6,groovy,0
7241,6 - Top Tier,6,jinkies,0
5432,3 - Moderate,6,jinkies,0
