,decade,index,rank,catchphrase,count
0,1960,1,5 - Very High,jeepers,0.0
1206,1960,1,5 - Very High,my_glasses,1.0
1809,1960,1,5 - Very High,just_about_wrapped_up,0.0
2412,1960,1,5 - Very High,groovy,0.0
3015,1960,1,5 - Very High,zoinks,1.0
3618,1960,1,5 - Very High,scooby_doo_where_are_you,0.0
4221,1960,1,5 - Very High,rooby_rooby_roo,1.0
603,1960,1,5 - Very High,jinkies,0.0
3619,1960,2,5 - Very High,scooby_doo_where_are_you,1.0
2413,1960,2,5 - Very High,groovy,0.0
4222,1960,2,5 - Very High,rooby_rooby_roo,0.0
3016,1960,2,5 - Very High,zoinks,3.0
1810,1960,2,5 - Very High,just_about_wrapped_up,0.0
1,1960,2,5 - Very High,jeepers,0.0
1207,1960,2,5 - Very High,my_glasses,0.0
604,1960,2,5 - Very High,jinkies,0.0
605,1960,3,5 - Very High,jinkies,0.0
3017,1960,3,5 - Very High,zoinks,1.0
3620,1960,3,5 - Very High,scooby_doo_where_are_you,0.0
2,1960,3,5 - Very High,jeepers,0.0
2414,1960,3,5 - Very High,groovy,2.0
4223,1960,3,5 - Very High,rooby_rooby_roo,0.0
1208,1960,3,5 - Very High,my_glasses,0.0
1811,1960,3,5 - Very High,just_about_wrapped_up,0.0
3018,1960,4,5 - Very High,zoinks,2.0
1209,1960,4,5 - Very High,my_glasses,0.0
4224,1960,4,5 - Very High,rooby_rooby_roo,0.0
3621,1960,4,5 - Very High,scooby_doo_where_are_you,0.0
2415,1960,4,5 - Very High,groovy,1.0
3,1960,4,5 - Very High,jeepers,0.0
606,1960,4,5 - Very High,jinkies,0.0
1812,1960,4,5 - Very High,just_about_wrapped_up,0.0
3622,1960,5,5 - Very High,scooby_doo_where_are_you,1.0
4225,1960,5,5 - Very High,rooby_rooby_roo,0.0
2416,1960,5,5 - Very High,groovy,0.0
607,1960,5,5 - Very High,jinkies,0.0
3019,1960,5,5 - Very High,zoinks,0.0
1813,1960,5,5 - Very High,just_about_wrapped_up,0.0
4,1960,5,5 - Very High,jeepers,0.0
1210,1960,5,5 - Very High,my_glasses,1.0
5,1960,6,6 - Top Tier,jeepers,1.0
3623,1960,6,6 - Top Tier,scooby_doo_where_are_you,0.0
1211,1960,6,6 - Top Tier,my_glasses,0.0
3020,1960,6,6 - Top Tier,zoinks,2.0
2417,1960,6,6 - Top Tier,groovy,0.0
608,1960,6,6 - Top Tier,jinkies,0.0
1814,1960,6,6 - Top Tier,just_about_wrapped_up,0.0
4226,1960,6,6 - Top Tier,rooby_rooby_roo,1.0
3021,1960,7,5 - Very High,zoinks,1.0
2418,1960,7,5 - Very High,groovy,1.0
1212,1960,7,5 - Very High,my_glasses,0.0
1815,1960,7,5 - Very High,just_about_wrapped_up,0.0
609,1960,7,5 - Very High,jinkies,0.0
3624,1960,7,5 - Very High,scooby_doo_where_are_you,0.0
4227,1960,7,5 - Very High,rooby_rooby_roo,1.0
6,1960,7,5 - Very High,jeepers,0.0
3625,1960,8,5 - Very High,scooby_doo_where_are_you,1.0
610,1960,8,5 - Very High,jinkies,0.0
2419,1960,8,5 - Very High,groovy,0.0
4228,1960,8,5 - Very High,rooby_rooby_roo,1.0
3022,1960,8,5 - Very High,zoinks,0.0
7,1960,8,5 - Very High,jeepers,0.0
1816,1960,8,5 - Very High,just_about_wrapped_up,0.0
1213,1960,8,5 - Very High,my_glasses,1.0
2420,1960,9,5 - Very High,groovy,0.0
1817,1960,9,5 - Very High,just_about_wrapped_up,0.0
3626,1960,9,5 - Very High,scooby_doo_where_are_you,0.0
611,1960,9,5 - Very High,jinkies,0.0
4229,1960,9,5 - Very High,rooby_rooby_roo,1.0
1214,1960,9,5 - Very High,my_glasses,0.0
8,1960,9,5 - Very High,jeepers,0.0
3023,1960,9,5 - Very High,zoinks,0.0
9,1960,10,5 - Very High,jeepers,0.0
1215,1960,10,5 - Very High,my_glasses,0.0
