,Unnamed: 0,decade,index,rank,catchphrase,count
0,0,1960,1,5 - Very High,jeepers,0.0
1,1206,1960,1,5 - Very High,my_glasses,1.0
2,1809,1960,1,5 - Very High,just_about_wrapped_up,0.0
3,2412,1960,1,5 - Very High,groovy,0.0
4,3015,1960,1,5 - Very High,zoinks,1.0
5,3618,1960,1,5 - Very High,scooby_doo_where_are_you,0.0
6,4221,1960,1,5 - Very High,rooby_rooby_roo,1.0
7,603,1960,1,5 - Very High,jinkies,0.0
8,3619,1960,2,5 - Very High,scooby_doo_where_are_you,1.0
9,2413,1960,2,5 - Very High,groovy,0.0
10,4222,1960,2,5 - Very High,rooby_rooby_roo,0.0
11,3016,1960,2,5 - Very High,zoinks,3.0
12,1810,1960,2,5 - Very High,just_about_wrapped_up,0.0
13,1,1960,2,5 - Very High,jeepers,0.0
14,1207,1960,2,5 - Very High,my_glasses,0.0
15,604,1960,2,5 - Very High,jinkies,0.0
16,605,1960,3,5 - Very High,jinkies,0.0
17,3017,1960,3,5 - Very High,zoinks,1.0
18,3620,1960,3,5 - Very High,scooby_doo_where_are_you,0.0
19,2,1960,3,5 - Very High,jeepers,0.0
20,2414,1960,3,5 - Very High,groovy,2.0
21,4223,1960,3,5 - Very High,rooby_rooby_roo,0.0
22,1208,1960,3,5 - Very High,my_glasses,0.0
23,1811,1960,3,5 - Very High,just_about_wrapped_up,0.0
24,3018,1960,4,5 - Very High,zoinks,2.0
25,1209,1960,4,5 - Very High,my_glasses,0.0
26,4224,1960,4,5 - Very High,rooby_rooby_roo,0.0
27,3621,1960,4,5 - Very High,scooby_doo_where_are_you,0.0
28,2415,1960,4,5 - Very High,groovy,1.0
29,3,1960,4,5 - Very High,jeepers,0.0
30,606,1960,4,5 - Very High,jinkies,0.0
31,1812,1960,4,5 - Very High,just_about_wrapped_up,0.0
32,3622,1960,5,5 - Very High,scooby_doo_where_are_you,1.0
33,4225,1960,5,5 - Very High,rooby_rooby_roo,0.0
34,2416,1960,5,5 - Very High,groovy,0.0
35,607,1960,5,5 - Very High,jinkies,0.0
36,3019,1960,5,5 - Very High,zoinks,0.0
37,1813,1960,5,5 - Very High,just_about_wrapped_up,0.0
38,4,1960,5,5 - Very High,jeepers,0.0
39,1210,1960,5,5 - Very High,my_glasses,1.0
40,5,1960,6,6 - Top Tier,jeepers,1.0
41,3623,1960,6,6 - Top Tier,scooby_doo_where_are_you,0.0
42,1211,1960,6,6 - Top Tier,my_glasses,0.0
43,3020,1960,6,6 - Top Tier,zoinks,2.0
44,2417,1960,6,6 - Top Tier,groovy,0.0
45,608,1960,6,6 - Top Tier,jinkies,0.0
46,1814,1960,6,6 - Top Tier,just_about_wrapped_up,0.0
47,4226,1960,6,6 - Top Tier,rooby_rooby_roo,1.0
48,3021,1960,7,5 - Very High,zoinks,1.0
49,2418,1960,7,5 - Very High,groovy,1.0
50,1212,1960,7,5 - Very High,my_glasses,0.0
51,1815,1960,7,5 - Very High,just_about_wrapped_up,0.0
52,609,1960,7,5 - Very High,jinkies,0.0
53,3624,1960,7,5 - Very High,scooby_doo_where_are_you,0.0
54,4227,1960,7,5 - Very High,rooby_rooby_roo,1.0
55,6,1960,7,5 - Very High,jeepers,0.0
56,3625,1960,8,5 - Very High,scooby_doo_where_are_you,1.0
57,610,1960,8,5 - Very High,jinkies,0.0
58,2419,1960,8,5 - Very High,groovy,0.0
59,4228,1960,8,5 - Very High,rooby_rooby_roo,1.0
60,3022,1960,8,5 - Very High,zoinks,0.0
61,7,1960,8,5 - Very High,jeepers,0.0
62,1816,1960,8,5 - Very High,just_about_wrapped_up,0.0
63,1213,1960,8,5 - Very High,my_glasses,1.0
64,2420,1960,9,5 - Very High,groovy,0.0
65,1817,1960,9,5 - Very High,just_about_wrapped_up,0.0
66,3626,1960,9,5 - Very High,scooby_doo_where_are_you,0.0
67,611,1960,9,5 - Very High,jinkies,0.0
68,4229,1960,9,5 - Very High,rooby_rooby_roo,1.0
69,1214,1960,9,5 - Very High,my_glasses,0.0
70,8,1960,9,5 - Very High,jeepers,0.0
71,3023,1960,9,5 - Very High,zoinks,0.0
72,9,1960,10,5 - Very High,jeepers,0.0
73,1215,1960,10,5 - Very High,my_glasses,0.0
74,3024,1960,10,5 - Very High,zoinks,0.0
75,4230,1960,10,5 - Very High,rooby_rooby_roo,0.0
76,3627,1960,10,5 - Very High,scooby_doo_where_are_you,2.0
77,1818,1960,10,5 - Very High,just_about_wrapped_up,0.0
78,612,1960,10,5 - Very High,jinkies,0.0
79,2421,1960,10,5 - Very High,groovy,0.0
80,3628,1960,11,6 - Top Tier,scooby_doo_where_are_you,0.0
81,10,1960,11,6 - Top Tier,jeepers,0.0
82,3025,1960,11,6 - Top Tier,zoinks,0.0
83,4231,1960,11,6 - Top Tier,rooby_rooby_roo,1.0
84,1819,1960,11,6 - Top Tier,just_about_wrapped_up,0.0
85,1216,1960,11,6 - Top Tier,my_glasses,1.0
86,2422,1960,11,6 - Top Tier,groovy,0.0
87,613,1960,11,6 - Top Tier,jinkies,0.0
88,3026,1960,12,5 - Very High,zoinks,6.0
89,4232,1960,12,5 - Very High,rooby_rooby_roo,3.0
90,2423,1960,12,5 - Very High,groovy,1.0
91,1820,1960,12,5 - Very High,just_about_wrapped_up,0.0
92,1217,1960,12,5 - Very High,my_glasses,0.0
93,3629,1960,12,5 - Very High,scooby_doo_where_are_you,0.0
94,614,1960,12,5 - Very High,jinkies,0.0
95,11,1960,12,5 - Very High,jeepers,0.0
96,1821,1960,13,6 - Top Tier,just_about_wrapped_up,0.0
97,615,1960,13,6 - Top Tier,jinkies,0.0
98,3027,1960,13,6 - Top Tier,zoinks,3.0
99,2424,1960,13,6 - Top Tier,groovy,0.0
100,3630,1960,13,6 - Top Tier,scooby_doo_where_are_you,0.0
101,1218,1960,13,6 - Top Tier,my_glasses,0.0
102,12,1960,13,6 - Top Tier,jeepers,0.0
103,4233,1960,13,6 - Top Tier,rooby_rooby_roo,0.0
104,1219,1960,14,5 - Very High,my_glasses,0.0
105,616,1960,14,5 - Very High,jinkies,0.0
106,2425,1960,14,5 - Very High,groovy,0.0
107,3631,1960,14,5 - Very High,scooby_doo_where_are_you,1.0
108,13,1960,14,5 - Very High,jeepers,0.0
109,4234,1960,14,5 - Very High,rooby_rooby_roo,0.0
110,1822,1960,14,5 - Very High,just_about_wrapped_up,0.0
111,3028,1960,14,5 - Very High,zoinks,5.0
112,14,1960,15,6 - Top Tier,jeepers,0.0
113,4235,1960,15,6 - Top Tier,rooby_rooby_roo,0.0
114,617,1960,15,6 - Top Tier,jinkies,0.0
115,3632,1960,15,6 - Top Tier,scooby_doo_where_are_you,0.0
116,3029,1960,15,6 - Top Tier,zoinks,8.0
117,2426,1960,15,6 - Top Tier,groovy,0.0
118,1823,1960,15,6 - Top Tier,just_about_wrapped_up,0.0
119,1220,1960,15,6 - Top Tier,my_glasses,0.0
120,2427,1960,16,6 - Top Tier,groovy,0.0
121,1824,1960,16,6 - Top Tier,just_about_wrapped_up,0.0
122,15,1960,16,6 - Top Tier,jeepers,0.0
123,4236,1960,16,6 - Top Tier,rooby_rooby_roo,0.0
124,3633,1960,16,6 - Top Tier,scooby_doo_where_are_you,0.0
125,618,1960,16,6 - Top Tier,jinkies,0.0
126,3030,1960,16,6 - Top Tier,zoinks,3.0
127,1221,1960,16,6 - Top Tier,my_glasses,0.0
128,2428,1960,17,5 - Very High,groovy,0.0
129,1222,1960,17,5 - Very High,my_glasses,1.0
130,1825,1960,17,5 - Very High,just_about_wrapped_up,0.0
131,16,1960,17,5 - Very High,jeepers,0.0
132,619,1960,17,5 - Very High,jinkies,0.0
133,4237,1960,17,5 - Very High,rooby_rooby_roo,0.0
134,3634,1960,17,5 - Very High,scooby_doo_where_are_you,0.0
135,3031,1960,17,5 - Very High,zoinks,4.0
136,3032,1960,18,6 - Top Tier,zoinks,3.0
137,17,1960,18,6 - Top Tier,jeepers,0.0
138,1826,1960,18,6 - Top Tier,just_about_wrapped_up,0.0
139,3635,1960,18,6 - Top Tier,scooby_doo_where_are_you,0.0
140,4238,1960,18,6 - Top Tier,rooby_rooby_roo,0.0
141,620,1960,18,6 - Top Tier,jinkies,0.0
142,1223,1960,18,6 - Top Tier,my_glasses,0.0
143,2429,1960,18,6 - Top Tier,groovy,0.0
144,3636,1960,19,5 - Very High,scooby_doo_where_are_you,0.0
145,1224,1960,19,5 - Very High,my_glasses,0.0
146,621,1960,19,5 - Very High,jinkies,0.0
147,2430,1960,19,5 - Very High,groovy,0.0
148,3033,1960,19,5 - Very High,zoinks,3.0
149,1827,1960,19,5 - Very High,just_about_wrapped_up,0.0
150,4239,1960,19,5 - Very High,rooby_rooby_roo,0.0
151,18,1960,19,5 - Very High,jeepers,0.0
152,622,1960,20,5 - Very High,jinkies,0.0
153,3637,1960,20,5 - Very High,scooby_doo_where_are_you,0.0
154,1225,1960,20,5 - Very High,my_glasses,0.0
155,4240,1960,20,5 - Very High,rooby_rooby_roo,0.0
156,1828,1960,20,5 - Very High,just_about_wrapped_up,0.0
157,2431,1960,20,5 - Very High,groovy,0.0
158,3034,1960,20,5 - Very High,zoinks,7.0
159,19,1960,20,5 - Very High,jeepers,0.0
160,3035,1960,21,6 - Top Tier,zoinks,7.0
161,1829,1960,21,6 - Top Tier,just_about_wrapped_up,0.0
162,3638,1960,21,6 - Top Tier,scooby_doo_where_are_you,0.0
163,4241,1960,21,6 - Top Tier,rooby_rooby_roo,0.0
164,2432,1960,21,6 - Top Tier,groovy,0.0
165,1226,1960,21,6 - Top Tier,my_glasses,1.0
166,623,1960,21,6 - Top Tier,jinkies,0.0
167,20,1960,21,6 - Top Tier,jeepers,0.0
168,21,1960,22,6 - Top Tier,jeepers,0.0
169,2433,1960,22,6 - Top Tier,groovy,0.0
170,1227,1960,22,6 - Top Tier,my_glasses,0.0
171,1830,1960,22,6 - Top Tier,just_about_wrapped_up,0.0
172,3639,1960,22,6 - Top Tier,scooby_doo_where_are_you,0.0
173,624,1960,22,6 - Top Tier,jinkies,0.0
174,4242,1960,22,6 - Top Tier,rooby_rooby_roo,0.0
175,3036,1960,22,6 - Top Tier,zoinks,0.0
176,4243,1960,23,5 - Very High,rooby_rooby_roo,0.0
177,2434,1960,23,5 - Very High,groovy,0.0
178,1831,1960,23,5 - Very High,just_about_wrapped_up,0.0
179,3037,1960,23,5 - Very High,zoinks,6.0
180,1228,1960,23,5 - Very High,my_glasses,0.0
181,3640,1960,23,5 - Very High,scooby_doo_where_are_you,1.0
182,625,1960,23,5 - Very High,jinkies,0.0
183,22,1960,23,5 - Very High,jeepers,0.0
184,23,1960,24,5 - Very High,jeepers,0.0
185,3641,1960,24,5 - Very High,scooby_doo_where_are_you,0.0
186,4244,1960,24,5 - Very High,rooby_rooby_roo,0.0
187,626,1960,24,5 - Very High,jinkies,0.0
188,3038,1960,24,5 - Very High,zoinks,0.0
189,1832,1960,24,5 - Very High,just_about_wrapped_up,0.0
190,2435,1960,24,5 - Very High,groovy,0.0
191,1229,1960,24,5 - Very High,my_glasses,0.0
192,627,1960,25,5 - Very High,jinkies,0.0
193,2436,1960,25,5 - Very High,groovy,0.0
194,3039,1960,25,5 - Very High,zoinks,4.0
195,24,1960,25,5 - Very High,jeepers,0.0
196,1230,1960,25,5 - Very High,my_glasses,0.0
197,3642,1960,25,5 - Very High,scooby_doo_where_are_you,1.0
198,4245,1960,25,5 - Very High,rooby_rooby_roo,0.0
199,1833,1960,25,5 - Very High,just_about_wrapped_up,0.0
200,3040,1970,26,4 - High,zoinks,1.0
201,3643,1970,26,4 - High,scooby_doo_where_are_you,1.0
202,4246,1970,26,4 - High,rooby_rooby_roo,0.0
203,628,1970,26,4 - High,jinkies,0.0
204,25,1970,26,4 - High,jeepers,0.0
205,1834,1970,26,4 - High,just_about_wrapped_up,0.0
206,2437,1970,26,4 - High,groovy,0.0
207,1231,1970,26,4 - High,my_glasses,0.0
208,3644,1970,27,5 - Very High,scooby_doo_where_are_you,3.0
209,1232,1970,27,5 - Very High,my_glasses,1.0
210,3041,1970,27,5 - Very High,zoinks,3.0
211,629,1970,27,5 - Very High,jinkies,0.0
212,26,1970,27,5 - Very High,jeepers,0.0
213,4247,1970,27,5 - Very High,rooby_rooby_roo,3.0
214,1835,1970,27,5 - Very High,just_about_wrapped_up,0.0
215,2438,1970,27,5 - Very High,groovy,0.0
216,630,1970,28,5 - Very High,jinkies,0.0
217,4248,1970,28,5 - Very High,rooby_rooby_roo,0.0
218,1836,1970,28,5 - Very High,just_about_wrapped_up,0.0
219,2439,1970,28,5 - Very High,groovy,0.0
220,3042,1970,28,5 - Very High,zoinks,0.0
221,3645,1970,28,5 - Very High,scooby_doo_where_are_you,0.0
222,1233,1970,28,5 - Very High,my_glasses,0.0
223,27,1970,28,5 - Very High,jeepers,0.0
224,3043,1970,29,5 - Very High,zoinks,9.0
225,4249,1970,29,5 - Very High,rooby_rooby_roo,0.0
226,1234,1970,29,5 - Very High,my_glasses,0.0
227,28,1970,29,5 - Very High,jeepers,1.0
228,3646,1970,29,5 - Very High,scooby_doo_where_are_you,0.0
229,631,1970,29,5 - Very High,jinkies,1.0
230,1837,1970,29,5 - Very High,just_about_wrapped_up,0.0
231,2440,1970,29,5 - Very High,groovy,0.0
232,1235,1970,30,5 - Very High,my_glasses,0.0
233,632,1970,30,5 - Very High,jinkies,0.0
234,1838,1970,30,5 - Very High,just_about_wrapped_up,0.0
235,29,1970,30,5 - Very High,jeepers,0.0
236,2441,1970,30,5 - Very High,groovy,0.0
237,3647,1970,30,5 - Very High,scooby_doo_where_are_you,0.0
238,4250,1970,30,5 - Very High,rooby_rooby_roo,0.0
239,3044,1970,30,5 - Very High,zoinks,0.0
