,index,rank,catchphrase,count
0,1,5 - Very High,Jeepers!,0.0
1,1,5 - Very High,My glasses!,1.0
2,1,5 - Very High,Just about wrapped up,0.0
3,1,5 - Very High,Groovy,0.0
4,1,5 - Very High,Zoinks!,1.0
5,1,5 - Very High,Scooby Doo! Where are you?,0.0
6,1,5 - Very High,Rooby rooby roo!,1.0
7,1,5 - Very High,Jinkies!,0.0
8,2,5 - Very High,Scooby Doo! Where are you?,1.0
9,2,5 - Very High,Groovy,0.0
10,2,5 - Very High,Rooby rooby roo!,0.0
11,2,5 - Very High,Zoinks!,3.0
12,2,5 - Very High,Just about wrapped up,0.0
13,2,5 - Very High,Jeepers!,0.0
14,2,5 - Very High,My glasses!,0.0
15,2,5 - Very High,Jinkies!,0.0
16,3,5 - Very High,Jinkies!,0.0
17,3,5 - Very High,Zoinks!,1.0
18,3,5 - Very High,Scooby Doo! Where are you?,0.0
19,3,5 - Very High,Jeepers!,0.0
20,3,5 - Very High,Groovy,2.0
21,3,5 - Very High,Rooby rooby roo!,0.0
22,3,5 - Very High,My glasses!,0.0
23,3,5 - Very High,Just about wrapped up,0.0
24,4,5 - Very High,Zoinks!,2.0
25,4,5 - Very High,My glasses!,0.0
26,4,5 - Very High,Rooby rooby roo!,0.0
27,4,5 - Very High,Scooby Doo! Where are you?,0.0
28,4,5 - Very High,Groovy,1.0
29,4,5 - Very High,Jeepers!,0.0
30,4,5 - Very High,Jinkies!,0.0
31,4,5 - Very High,Just about wrapped up,0.0
32,5,5 - Very High,Scooby Doo! Where are you?,1.0
33,5,5 - Very High,Rooby rooby roo!,0.0
34,5,5 - Very High,Groovy,0.0
35,5,5 - Very High,Jinkies!,0.0
36,5,5 - Very High,Zoinks!,0.0
37,5,5 - Very High,Just about wrapped up,0.0
38,5,5 - Very High,Jeepers!,0.0
39,5,5 - Very High,My glasses!,1.0
40,6,6 - Top Tier,Jeepers!,1.0
41,6,6 - Top Tier,Scooby Doo! Where are you?,0.0
42,6,6 - Top Tier,My glasses!,0.0
43,6,6 - Top Tier,Zoinks!,2.0
